k,event,x,x_next,r,r_next,dx,dx_raw,dx_perm,q,p,z,a,s,u,v,R,Psi,horizon,closed
1,ROAM,1.0,0.5,2.000000000001,1.062500000001,-0.5,-0.5,-0.15306122448959597,1.8823529411748094,1.0,1.8823529411748094,0.30612244897919194,0.30612244897919194,0.316261279371314,0.316261279371314,0.4472609905403786,0.10002119682958031,0,0
2,ROAM,0.5,-1.625,1.062500000001,7.972900390626,-2.125,-2.125,1.625229673862395,0.1332639250392596,4.2499999999935,0.5663716814159871,-0.7648139641705388,-0.27683615819204316,-1.0077118591436816,-0.28425236767628315,1.0470351472555197,0.548141299794194,0,0
3,ROAM,-1.625,-1.160488734638143,7.972900390626,2.8136927447822675,0.46451126536185705,0.46451126536185705,0.22217488337148525,2.8336073316495454,0.21859353664124162,0.6194082480778258,0.47829815967629913,-0.23501902770590535,0.5207752877202905,-0.2394953476468405,0.5732058285159287,0.16428246092231616,0,0
4,ROAM,-1.160488734638143,-0.7104044049677487,2.8136927447822675,1.2546962687878067,0.4500843296703942,0.4500843296703942,0.17247118737064765,2.2425289807384248,0.9689416882490608,2.172879816544135,0.3831974943383427,0.36965781383475865,0.4038021191367585,0.388026696062936,0.5600186320800898,0.1568104341384275,0,0
5,ROAM,-0.7104044049677487,0.1645021656000787,1.2546962687878067,1.0007322956917293,0.8749065705678274,0.8749065705678274,0.0985155336987345,1.2537781324627661,1.9438725431911732,2.4371848869478767,0.11260120453181241,0.4181284784549534,0.11308074934825778,0.44542181919163254,0.4595517956500082,0.10559392644257345,0,0
6,ROAM,0.1645021656000787,-56.036371303682074,1.0007322956917293,9860071.43340364,-56.20087346928215,-56.20087346928215,56.20086206124646,1.0149341234004452e-07,64.23642861973676,6.51957433715478e-06,-0.999999797013196,-0.9999869609363349,-7.254328619247669,-5.970350734936356,9.39523132308039,44.13518580709544,0,0
7,ROAM,-56.036371303682074,-42.027277056971215,9860071.43340364,3119788.4886941416,14.009094246710859,14.009094246710859,7.274751776109485,3.1604935620269554,0.24926826545442562,0.7878107481863383,0.5192878031938072,-0.11868664064634306,0.5753641029586057,-0.11924869262262854,0.5875917814823206,0.1726320508327836,0,0
8,ROAM,-42.027277056971215,-31.520454424928744,3119788.4886941416,987120.8382196982,10.506822632042471,10.506822632042471,5.456064147748792,3.1604929892076568,0.7500001389818316,2.370370181156847,0.5192877370090487,0.4065933732793947,0.5753640123367868,0.4315230687654423,0.7192050511286964,0.2586279527845154,0,0
9,ROAM,-31.520454424928744,-23.640332835761455,987120.8382196982,312331.46443691506,7.880121589167287,7.880121589167287,4.0920488590580755,3.160491178816464,0.7500004392513175,2.3703697723622623,0.5192875278324852,0.4065933013046762,0.5753637259270846,0.4315229825353201,0.7192047702628755,0.2586277507844378,0,0
10,ROAM,-23.640332835761455,-17.730230704289088,312331.46443691506,98823.88913891802,5.910102131472367,5.910102131472367,3.06903841791143,3.1604854570929373,0.7500013882523294,2.370368480371001,0.5192868667308206,0.4065930738291721,0.5753628207309646,0.43152271000577047,0.7192038825883912,0.25862711236510816,0,0
11,ROAM,-17.730230704289088,-13.297628174664013,98823.88913891802,31268.75789374526,4.432602529625075,4.432602529625075,2.3017830175392078,3.160467373687585,0.7500043875757935,2.3703643970558335,0.5192847773188228,0.40659235489578194,0.5753599598639662,0.4315218486800487,0.7192010771007727,0.25862509465145583,0,0
12,ROAM,-13.297628174664013,-9.973114810389575,31268.75789374526,9893.89215281396,3.3245133642744387,3.3245133642744387,1.726347228249896,3.16041022186117,0.7500138670353301,2.370351491916082,0.5192781737024733,0.4065900827266601,0.5753509181089957,0.4315191264878621,0.7191922103956021,0.25861871774685596,0,0
13,ROAM,-9.973114810389575,-7.47958408051198,9893.89215281396,3130.75105404794,2.493530729877595,2.493530729877595,1.294784040716487,3.1602296005048176,0.7500438279700066,2.370310706826758,0.519257302587984,0.4065829017043191,0.5753223416734643,0.4315105232405487,0.7191641874398158,0.2585985642479853,0,0
14,ROAM,-7.47958408051198,-5.609090601995814,3130.75105404794,990.8509868376045,1.870493478516166,1.870493478516166,0.9711440067933499,3.159658814127065,0.7501385309208668,2.3701818210404446,0.5191913353067361,0.40656020766779916,0.5752320257783319,0.43148333497148444,0.7190756231712752,0.25853487591957885,0,0
15,ROAM,-5.609090601995814,-4.205401301244303,990.8509868376045,313.7733768565069,1.403689300751512,1.403689300751512,0.7284906087586352,3.1578555094899996,0.7504379549429314,2.369774630546944,0.518982803650789,0.4064884987055106,0.5749465804918366,0.43139742901461303,0.7187957374523544,0.258333656089837,0,0
